,SubjectID,VideoID,user-definedlabel,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.0,,,,,,,,,,,,
2,0.0,2.0,,,,,,,,,,,,
3,0.0,3.0,,,,,,,,,,,,
4,0.0,4.0,,,,,,,,,,,,
5,0.0,5.0,,,,,,,,,,,,
6,0.0,6.0,,,,,,,,,,,,
7,0.0,7.0,,,,,,,,,,,,
8,0.0,8.0,,,,,,,,,,,,
9,0.0,9.0,,,,,,,,,,,,
10,1.0,0.0,,,,,,,,,,,,
11,1.0,1.0,,,,,,,,,,,,
12,1.0,2.0,,,,,,,,,,,,
13,1.0,3.0,,,,,,,,,,,,
14,1.0,4.0,,,,,,,,,,,,
15,1.0,5.0,,,,,,,,,,,,
16,1.0,6.0,,,,,,,,,,,,
17,1.0,7.0,,,,,,,,,,,,
18,1.0,8.0,,,,,,,,,,,,
19,1.0,9.0,,,,,,,,,,,,
20,2.0,0.0,,,,,,,,,,,,
21,2.0,1.0,,,,,,,,,,,,
22,2.0,2.0,,,,,,,,,,,,
23,2.0,3.0,,,,,,,,,,,,
24,2.0,4.0,,,,,,,,,,,,
25,2.0,5.0,,,,,,,,,,,,
26,2.0,6.0,,,,,,,,,,,,
27,2.0,7.0,,,,,,,,,,,,
28,2.0,8.0,,,,,,,,,,,,
29,2.0,9.0,,,,,,,,,,,,
30,3.0,0.0,,,,,,,,,,,,
31,3.0,1.0,,,,,,,,,,,,
32,3.0,2.0,,,,,,,,,,,,
33,3.0,3.0,,,,,,,,,,,,
34,3.0,4.0,,,,,,,,,,,,
35,3.0,5.0,,,,,,,,,,,,
36,3.0,6.0,,,,,,,,,,,,
37,3.0,7.0,,,,,,,,,,,,
38,3.0,8.0,,,,,,,,,,,,
39,3.0,9.0,,,,,,,,,,,,
40,4.0,0.0,,,,,,,,,,,,
41,4.0,1.0,,,,,,,,,,,,
42,4.0,2.0,,,,,,,,,,,,
43,4.0,3.0,,,,,,,,,,,,
44,4.0,4.0,,,,,,,,,,,,
45,4.0,5.0,,,,,,,,,,,,
46,4.0,6.0,,,,,,,,,,,,
47,4.0,7.0,,,,,,,,,,,,
48,4.0,8.0,,,,,,,,,,,,
49,4.0,9.0,,,,,,,,,,,,
50,5.0,0.0,,,,,,,,,,,,
51,5.0,1.0,,,,,,,,,,,,
52,5.0,2.0,,,,,,,,,,,,
53,5.0,3.0,,,,,,,,,,,,
54,5.0,4.0,,,,,,,,,,,,
55,5.0,5.0,,,,,,,,,,,,
56,5.0,6.0,,,,,,,,,,,,
57,5.0,7.0,,,,,,,,,,,,
58,5.0,8.0,,,,,,,,,,,,
59,5.0,9.0,,,,,,,,,,,,
60,6.0,0.0,,,,,,,,,,,,
61,6.0,1.0,,,,,,,,,,,,
62,6.0,2.0,,,,,,,,,,,,
63,6.0,3.0,,,,,,,,,,,,
64,6.0,4.0,,,,,,,,,,,,
65,6.0,5.0,,,,,,,,,,,,
66,6.0,6.0,,,,,,,,,,,,
67,6.0,7.0,,,,,,,,,,,,
68,6.0,8.0,,,,,,,,,,,,
69,6.0,9.0,,,,,,,,,,,,
70,7.0,0.0,,,,,,,,,,,,
71,7.0,1.0,,,,,,,,,,,,
72,7.0,2.0,,,,,,,,,,,,
73,7.0,3.0,,,,,,,,,,,,
74,7.0,4.0,,,,,,,,,,,,
75,7.0,5.0,,,,,,,,,,,,
76,7.0,6.0,,,,,,,,,,,,
77,7.0,7.0,,,,,,,,,,,,
78,7.0,8.0,,,,,,,,,,,,
79,7.0,9.0,,,,,,,,,,,,
80,8.0,0.0,,,,,,,,,,,,
81,8.0,1.0,,,,,,,,,,,,
82,8.0,2.0,,,,,,,,,,,,
83,8.0,3.0,,,,,,,,,,,,
84,8.0,4.0,,,,,,,,,,,,
85,8.0,5.0,,,,,,,,,,,,
86,8.0,6.0,,,,,,,,,,,,
87,8.0,7.0,,,,,,,,,,,,
88,8.0,8.0,,,,,,,,,,,,
89,8.0,9.0,,,,,,,,,,,,
90,9.0,0.0,,,,,,,,,,,,
91,9.0,1.0,,,,,,,,,,,,
92,9.0,2.0,,,,,,,,,,,,
93,9.0,3.0,,,,,,,,,,,,
94,9.0,4.0,,,,,,,,,,,,
95,9.0,5.0,,,,,,,,,,,,
96,9.0,6.0,,,,,,,,,,,,
97,9.0,7.0,,,,,,,,,,,,
98,9.0,8.0,,,,,,,,,,,,
99,9.0,9.0,,,,,,,,,,,,
